feud,feud,1
bony,bony,1
bled,bled,1
heal,heal,1
spur,spur,1
sown,sown,1
bulb,bulb,1
rosy,rosy,1
surf,surf,1
clot,clot,1
lamb,lamb,1
pier,pier,1
edit,edit,1
bile,bile,1
twin,twin,1
reap,reap,1
oust,oust,1
stub,stub,1
goat,goat,1
rely,rely,1
wary,wary,1
hast,hast,1
hail,hair,0
harp,harp,1
yell,yell,1
stag,stag,1
vase,vase,1
mule,mule,1
user,user,1
duet,duet,1
cosy,cosy,1
warp,warp,1
poke,poke,1
moth,moth,1
wasp,wasp,1
raft,raft,1
mite,mite,1
pear,pear,1
pore,pore,1
gust,gust,1
ache,ache,1
trio,trio,1
fuse,fuse,1
dank,dank,1
stir,stir,1
sage,sage,1
verb,verb,1
rein,rein,1
tact,tact,1
grub,grub,1
lame,lame,1
omen,omen,1
oily,oily,1
gnaw,gnaw,1
deaf,deaf,1
lice,lice,1
brew,brew,1
alas,alas,1
arch,arch,1
rump,rump,1
pulp,pulp,1
pork,pork,1
scan,scan,1
obey,obey,1
omit,omit,1
reek,reek,1
tank,tank,1
funk,funk,1
chat,chat,1
gage,gage,1
gale,gale,1
lust,lust,1
wick,wick,1
mink,mink,1
weed,weed,1
cake,cake,1
lazy,lazy,1
spin,spin,1
doll,doll,1
bust,bust,1
liar,liar,1
fake,fake,1
gasp,gasp,1
wade,wade,1
scar,scar,1
moan,moan,1
stew,stew,1
puff,puff,1
swan,swan,1
veil,veil,1
flex,flew,0
bald,bald,1
bind,bind,1
wink,wink,1
grey,grey,1
gill,gill,1
brag,brg,0
undo,undo,1
shun,shun,1
arid,arid,1
fret,fret,1
coil,coil,1
hone,hone,1
melt,melt,1
lard,lard,1
sunk,sunk,1
jest,jest,1
hoof,hoof,1
wove,wove,1
slug,slug,1
gaze,gaze,1
dine,dine,1
wipe,wipe,1
curd,curd,1
lewd,lewd,1
crow,crow,1
coax,coax,1
math,math,1
rust,rust,1
heed,heed,1
wolf,wolf,1
pram,pram,1
spat,spat,1
defy,defy,1
oath,oath,1
yelp,yep,0
pact,pact,1
hare,hare,1
brow,brow,1
slot,slot,1
emit,emit,1
boil,boil,1
thaw,thaw,1
glee,glee,1
lobe,lobe,1
cone,cone,1
rift,rift,1
slap,slap,1
toot,toot,1
suck,suck,1
lime,lime,1
tick,tick,1
gash,gash,1
nova,nova,1
slam,slam,1
envy,envy,1
herb,herb,1
clog,clog,1
grin,grin,1
wisp,wasp,0
shin,shin,1
tame,tame,1
bump,bump,1
whir,whir,1
taut,taut,1
dove,dv,0
fete,fete,1
soak,soak,1
ware,ware,1
wrap,wrap,1
toad,toad,1
malt,malt,1
edgy,edgy,1
slab,slab,1
mesh,mesh,1
prop,prop,1
cork,cork,1
corp,corp,1
chop,chop,1
hint,hint,1
hart,hart,1
coin,coin,1
darn,darn,1
zest,zest,1
racy,racy,1
howl,howl,1
leaf,leaf,1
silk,silk,1
wavy,wavy,1
diva,diva,1
cuff,cuff,1
sofa,sofa,1
plum,plum,1
lure,lure,1
maze,maze,1
lurk,lrk,0
chef,chef,1
chew,chew,1
dire,dire,1
mask,mask,1
rung,rung,1
skip,skip,1
mash,mash,1
bolt,bolt,1
solo,solo,1
debt,debt,1
guru,guru,1
haul,hal,0
bred,bred,1
noun,noun,1
tint,tint,1
clap,clap,1
roar,roar,1
thud,thud,1
bead,bead,1
cave,cave,1
dock,dock,1
tilt,tilt,1
clam,clam,1
hunk,hunk,1
hobo,hobo,1
mole,mole,1
blur,blur,1
void,void,1
wool,wool,1
rack,rack,1
riot,riot,1
limb,limb,1
pout,pout,1
hose,hose,1
punk,punk,1
swap,swap,1
dial,dial,1
tuck,tuck,1
jolt,jolt,1
airy,airy,1
quiz,quiz,1
turf,turf,1
sped,sped,1
bite,bite,1
ally,ally,1
hive,hive,1
veto,veto,1
huff,huff,1
sack,sack,1
heel,heel,1
yolk,yolk,1
reed,reed,1
flaw,flaw,1
clip,clip,1
